N/A,Pinyin,Definition,Radical,stroke_count,hsk_level,id_in_standard_specification,frequency_rank,converted_pinyin,raw_pinyin
的,de,possessive/adjectival suffix,白,8,1,1155,1.0,de5,de
一,yī,one/a/an/alone,一,1,1,1,2.0,yi1,yi
是,shì,indeed/yes/right/to be/demonstrative pronoun/this/that,日,9,1,1479,3.0,shi4,shi
不,bù,no/not/un-/negative prefix,一,4,1,91,4.0,bu4,bu
了,le,to finish/particle of completed action,亅,2,1,17,5.0,le5,liao
在,zài,be at/in/on/consist in/rest,土,6,1,388,6.0,zai4,zai
人,rén,man/people/mankind/someone else,人,2,1,10,7.0,ren2,ren
有,yǒu,have/own/possess/exist,月,6,1,390,8.0,you3,you
我,wǒ,our/us/i/me/my/we,戈,7,1,761,9.0,wo3,wo
他,tā,other/another/he/she/it,人,5,1,277,10.0,ta1,ta
这,zhè,this/the/here,辵,7,1,837,11.0,zhe4,zhe
个,gè,numerary adjunct/piece/single,丨,3,1,45,12.0,ge4,ge
们,men,adjunct pronoun indicate plural,人,5,1,273,13.0,men5,men
中,zhōng,central/center/middle/in the midst of/hit (target)/attain,丨,4,1,113,14.0,zhong1,zhong
来,lái,come/coming/return/returning,木,7,1,707,15.0,lai2,lai
上,shàng,top/superior/highest/go up/send up,一,3,1,36,16.0,shang4,shang
大,dà,big/great/vast/large/high,大,3,1,32,17.0,da4,da
和,hé,harmony/peace/peaceful/calm,口,8,1,1131,19.0,he2,he
国,guó,nation/country/nation-state,囗,8,1,1081,20.0,guo2,guo
说,shuō,speak/say/talk/scold/upbraid,言,9,1,1717,24.0,shuo1,shuo
时,shí,time/season/era/age/period,日,7,1,717,25.0,shi2,shi
出,chū,go out/send out/stand/produce,凵,5,1,330,28.0,chu1,chu
会,huì,assemble/meet together/meeting,人,6,1,486,29.0,hui4,hui
你,nǐ,you/second person pronoun,人,7,1,782,32.0,ni3,ni
对,duì,correct/right/facing/opposed,寸,5,1,341,33.0,dui4,dui
生,shēng,life/living/lifetime/birth,生,5,1,263,34.0,sheng1,sheng
能,néng,to be able/can/permitted to/ability,肉,10,1,2146,35.0,neng2,neng
子,zi,offspring/child/fruit/seed of/1st terrestrial branch,子,3,1,64,37.0,zi3,zi
那,nà,that/that one/those,邑,6,1,564,38.0,na4,na
下,xià,under/underneath/below/down/inferior/bring down,一,3,1,30,42.0,xia4,xia
年,nián,,干,6,1,444,45.0,nian2,nian
后,hòu,queen/empress/sovereign/(simp. for 後) behind/rear/after,口,6,1,482,48.0,hou4,hou
作,zuò,make/work/compose/write/act/perform,人,7,1,777,49.0,zuo4,zuo
里,lǐ,unit of distance/village/lane,里,7,1,721,50.0,li3,li
家,jiā,house/home/residence/family,宀,10,1,2099,56.0,jia1,jia
多,duō,much/many/more than/over,夕,6,1,507,61.0,duo1,duo
么,me,interrogative particle/repetition of a tune small/tender,丿,3,1,48,63.0,yao1,yao
去,qù,go away/leave/depart,厶,5,1,204,64.0,qu4,qu
学,xué,learning/knowledge/school,子,8,1,1273,66.0,xue2,xue
都,dōu,metropolis/capital/all/the whole/elegant/refined,邑,10,1,1801,68.0,du1,du
同,tóng,same/similar/together with,口,6,1,427,69.0,tong2,tong
现,xiàn,appear/manifest/become visible,玉,8,1,949,70.0,xian4,xian
没,méi,not/have not/none/drown/sink,水,7,1,867,72.0,mei2,mei
面,miàn,face/surface/plane/side/dimension,面,9,1,1455,74.0,mian4,mian
起,qǐ,rise/stand up/go up/begin,走,10,1,1789,75.0,qi3,qi
看,kàn,look/see/examine/scrutinize,目,9,1,1539,76.0,kan4,kan
天,tiān,sky/heaven/god/celestial,大,4,1,78,78.0,tian1,tian
分,fēn,divide/small unit of time etc.,刀,4,1,146,79.0,fen1,fen
好,hǎo,good/excellent/fine/well,女,6,1,581,82.0,hao3,hao
小,xiǎo,small/tiny/insignificant,小,3,1,37,83.0,xiao3,xiao
些,xiē,little/few/rather/somewhat,二,8,1,1069,86.0,xie1,xie
样,yàng,shape/form/pattern/style,木,10,1,1849,88.0,yang2,yang
她,tā,she/her,女,6,1,582,91.0,ta1,ta
本,běn,root/origin/source/basis,木,5,1,210,92.0,ben3,ben
前,qián,in front/forward/preceding,刀,9,1,1650,93.0,qian2,qian
开,kāi,open/initiate/begin/start,廾,4,1,76,94.0,kai1,kai
想,xiǎng,think/speculate/plan/consider,心,13,1,2867,99.0,xiang3,xiang
机,jī,desk/machine/moment,木,6,1,377,111.0,ji1,ji
十,shí,ten/tenth/complete/perfect,十,2,1,4,112.0,shi2,shi
工,gōng,labor/work/worker/laborer,工,3,1,26,118.0,gong1,gong
明,míng,bright/light/brilliant/clear,日,8,1,1087,121.0,ming2,ming
三,sān,three,一,3,1,22,125.0,san1,san
关,guān,frontier pass/close/relation,八,6,1,532,127.0,guan1,guan
点,diǎn,dot/speck/spot/point/degree,火,9,1,1469,128.0,dian3,dian
高,gāo,high/tall/lofty/elevated,高,10,1,2021,134.0,gao1,gao
很,hěn,very/quite/much,彳,9,1,1584,138.0,hen3,hen
见,jiàn,see/observe/behold/perceive,見,4,1,118,153.0,jian4,jian
什,shén,file of ten soldiers/mixed/miscellaneous,人,4,1,129,156.0,shi2,shi
二,èr,two/twice,二,2,1,3,157.0,er4,er
果,guǒ,fruit/result,木,8,1,1079,165.0,guo3,guo
西,xī,west(ern)/westward/occident,襾,6,1,384,167.0,xi1,xi
月,yuè,moon/month/KangXi radical 74,月,4,1,150,169.0,yue4,yue
话,huà,speech/talk/language/dialect,言,8,1,1296,170.0,hua4,hua
回,huí,return/turn around/a time,囗,6,1,438,172.0,hui2,hui
老,lǎo,old/aged/experienced,老,6,1,360,179.0,lao3,lao
先,xiān,first/former/previous,儿,6,1,446,188.0,xian1,xian
儿,ér,son/child/KangXi radical 10,儿,2,1,12,192.0,er2,er
东,dōng,east/eastern/eastward,一,5,1,225,194.0,dong1,dong
水,shuǐ,water/liquid/lotion/juice,水,4,1,117,202.0,shui3,shui
名,míng,name/rank/title/position,口,6,1,505,203.0,ming2,ming
几,jǐ,small table,几,2,1,14,211.0,ji1,ji
认,rèn,recognize/know/understand,言,4,1,171,213.0,ren4,ren
系,xì,system/line/link/connection,糸,7,1,825,216.0,xi4,xi
气,qì,steam/vapor/KangXi radical 84,气,4,1,122,217.0,qi4,qi
打,dǎ,strike/hit/beat/fight/attack,手,5,1,196,223.0,da3,da
女,nǚ,woman/girl/feminine/rad. 38,女,3,1,67,224.0,nv3,nu
四,sì,four,囗,5,1,262,226.0,si4,si
电,diàn,electricity/electric/lightning,曰,5,1,242,230.0,dian4,dian
少,shǎo,few/less/inadequate,小,4,1,110,233.0,shao3,shao
太,tài,very/too/much/big/extreme,大,4,1,93,240.0,tai4,tai
再,zài,again/twice/re-,冂,6,1,382,242.0,zai4,zai
做,zuò,work/make/act,人,11,1,2324,246.0,zuo4,zuo
期,qī,period of time/date/time limit,月,12,1,2542,253.0,qi1,qi
五,wǔ,five/surname,二,4,1,88,279.0,wu3,wu
书,shū,book/letter/document/writings,丨,4,1,188,282.0,shu1,shu
听,tīng,hear/understand/obey/comply,口,7,1,739,285.0,ting1,ting
住,zhù,reside/live at/dwell/lodge/stop,人,7,1,783,309.0,zhu4,zhu
北,běi,north/northern/northward,匕,5,1,227,315.0,bei3,bei
觉,jué,to wake up from sleep/conscious,見,9,1,1694,327.0,jue2,jue
师,shī,teacher/master/specialist,巾,6,1,413,333.0,shi1,shi
今,jīn,now/today/modern era,人,4,1,144,336.0,jin1,jin
院,yuàn,courtyard/yard/court/school,阜,9,1,1734,338.0,yuan4,yuan
识,shí,recognize/understand/know,言,7,1,892,340.0,shi4,shi
候,hòu,wait/expect/visit/greet,人,10,1,1964,341.0,hou4,hou
飞,fēi,fly/go quickly/dart/high,乙,3,1,69,347.0,fei1,fei
车,chē,cart/vehicle/carry in cart,車,4,1,100,361.0,che1,che
服,fú,clothes/wear/dress,月,8,1,1190,365.0,fu2,fu
